Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C12, C2, C3, C4, C5, C6, C7, C8, C9",0603,12,10u,
C13,0603,1,1u,CL10A105KB8NNNC
Cbst1,1206,1,100n,GRM31C5C1H104JA01K
Cff1,0402,1,220p,GRM1555C1H221JA01J
"Cihf_ch1, Cihf_ch2",0603,2,100n,GRM188R71H104KA93D
Cin1,1210,1,10u,GRM32ER71J106KA12L
Cout1,CP_Elec_6.3x5.9,1,180u,16SVPF180M
Coutx1,0805,1,22u,GRM21BR61A226ME44L
Creg1,0603,1,4.7u,CC0603KRX7R9BB822
Css1,0603,1,10n,CC0603KRX7R9BB822
"D1, D10, D12, D13, D4, D6, D8",0603,7,GREEN,19-217/GHC-YR1S2/3T
"D11, D2, D3, D5, D7, D9",0603,6,RED,19-213/R6W-BP2Q2B/3T
"J1, J2, J3, J4, J5, J6",BT2.0,6,Conn_01x02,betafpv BT2.0 MALE
J7,USB_C_Receptacle_G-Switch_GT-USB-7010ASV,1,USB_C_CONN,GT-USB-7010ASV
L1,L_Chilisin_BMRF00101040,1,1.6uH,YSPI1040-1R5M
"R1, R14, R20, R26, R32, R8",0603,6,1,
"R10, R100, R13, R15, R16, R19, R2, R21, R22, R25, R27, R28, R3, R31, R33, R34, R4, R44, R7, R9",0603,20,1K,
"R101, Rfbb1, Rpg1",0603,3,10K,
R102,0603,1,24K,
Rfbt1,0603,1,73.2K,
Rmh1,0603,1,121K,
Rml1,0603,1,20K,
"U1, U2, U3, U4, U5, U6",DFN-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm,6,LGS4056HDA-4.35,LGS4056HDA-4.35
U7,ESSOP10,1,CH224K,CH224K
U8,Texas_RNN0018A,1,TPS568215RNN,TPS568215RNN
